0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:15:58 -0300] "GET /ProjetoWeb/img/calendario.jpg HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:15:58 -0300] "GET /ProjetoWeb/img/menu.jpg HTTP/1.1" 200 378741
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:15:58 -0300] "GET /ProjetoWeb/img/perfil.png HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:15:59 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:01 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:53 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:53 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:54 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:54 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:16:54 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:38 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:38 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:38 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:38 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:38 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:44 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:44 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:45 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:45 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:17:45 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:06 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:06 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:06 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:06 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:07 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:07 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:08 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:09 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:12 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:12 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:12 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:12 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:12 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:16 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:16 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:16 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:16 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:17 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:17 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:17 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:18 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:18 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:18:18 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:09 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:09 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:10 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:10 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:22:10 -0300] "GET /favicon.ico HTTP/1.1" 404 774
